ip,port,tls,delay_ms,speed_kbs,colo,cf_location,isp,asn,tested_at,channel,fail_count
89.208.251.252,443,true,484,,LAX,北美洲 · 美国洛杉矶,IT7 Networks Inc,`AS25820 IT7 Networks Inc`,2026-09-15 18:00:26,@danfeng_chat,0
166.88.100.64,22222,true,312,,KIX,亚太 · 大阪,Ace Data Centers II,`AS149440 Evoxt Sdn. Bhd.`,2026-09-15 12:00:28,@danfeng_chat,0
179.255.105.77,17950,true,530,,LAX,北美洲 · 美国洛杉矶,NetCrew,`AS906 DMIT Cloud Services`,2026-09-15 06:00:31,@danfeng_chat,0
191.40.11.102,1891,true,593,,FRA,欧洲 · 德国法兰克福,Eons Data Communications Limited,`AS138997 Eons Data Communications Limited`,2026-09-15 00:00:32,@danfeng_chat,0
103.47.186.47,52492,true,280,,NRT,亚太 · 日本东京,xTom Japan Corporation,`AS3258 xTom Japan Corporation`,2026-09-14 18:00:32,@danfeng_chat,0
147.78.246.169,22658,true,,,NRT,亚太 · 日本东京,VIRMACH,`AS3258 xTom Japan Corporation`,2026-09-14 12:00:33,@danfeng_chat,1
98.85.241.163,443,true,718,,IAD,北美洲 · 美国阿什伯恩,"Amazon.com, Inc.","`AS14618 Amazon.com, Inc.`",2026-09-14 06:00:33,@danfeng_chat,0
154.21.85.197,39257,true,875,,LAX,北美洲 · 美国洛杉矶,DMIT Cloud Services,`AS906 DMIT Cloud Services`,2026-09-14 00:00:30,@danfeng_chat,0
23.249.18.144,8581,true,359,,HKG,亚太 · 香港,Prime Security Corp.,`AS400618 Prime Security Corp.`,2026-09-13 18:00:33,@danfeng_chat,0
142.248.139.237,51982,true,218,,NRT,亚太 · 日本东京,JT TELECOM INTERNATIONAL PTE.LTD.,`AS137535 JT TELECOM INTERNATIONAL PTE.LTD.`,2026-09-13 12:00:29,@danfeng_chat,0
38.59.230.210,14338,true,545,,AMS,欧洲 · 荷兰阿姆斯特丹,Kirino LLC,`AS41378 Kirino LLC`,2026-09-13 06:00:28,@danfeng_chat,0
45.89.234.48,40128,true,,,NRT,亚太 · 日本东京,xTom Japan Corporation,`AS3258 xTom Japan Corporation`,2026-09-13 00:00:28,@danfeng_chat,1
116.206.178.154,19436,true,203,,HKG,亚太 · 香港,Xnnet LLC,`AS6134 XNNET LLC`,2026-09-12 18:00:31,@danfeng_chat,0
185.200.65.176,10443,true,484,,NRT,亚太 · 日本东京,xTom Japan Corporation,`AS3258 xTom Japan Corporation`,2026-09-12 12:00:28,@danfeng_chat,0
216.24.184.56,443,true,484,,LAX,北美洲 · 美国洛杉矶,IT7 Networks Inc,`AS25820 IT7 Networks Inc`,2026-09-12 06:00:35,@danfeng_chat,0
108.165.255.238,2038,true,,,HKG,亚太 · 香港,Ace Data Centers,`AS149440 Evoxt Sdn. Bhd.`,2026-09-12 00:00:28,@danfeng_chat,1
95.169.10.15,443,true,500,,SJC,北美洲 · 美国圣何塞,IT7 Networks Inc,`AS25820 IT7 Networks Inc`,2026-09-11 18:00:33,@danfeng_chat,0
216.236.1.34,1891,true,312,,NRT,亚太 · 日本东京,Eons Data Communications Limited,`AS138997 Eons Data Communications Limited`,2026-09-11 12:00:27,@danfeng_chat,0
154.31.115.118,14702,true,280,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-11 06:52:50,@otcfxq,0
154.12.176.78,25301,true,545,,FRA,欧洲 · 德国法兰克福,DMIT Cloud Services,`AS906 DMIT Cloud Services`,2026-09-11 06:00:32,@danfeng_chat,0
154.26.182.126,39445,true,484,,LAX,北美洲 · 美国洛杉矶,DMIT Cloud Services,`AS906 DMIT Cloud Services`,2026-09-11 00:00:34,@danfeng_chat,0
154.31.114.46,12632,true,264,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-10 20:06:12,@otcfxq,0
154.3.35.193,2053,true,2545,,HKG,亚太 · 香港,DMIT Cloud Services,`AS906 DMIT Cloud Services`,2026-09-10 19:07:09,@danfeng_chat,0
154.31.112.237,26418,true,250,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-10 10:28:04,@otcfxq,0
64.186.234.87,15984,true,484,,SJC,北美洲 · 美国圣何塞,GTT Communications Inc.,`AS3257`,2026-09-10 00:42:09,@otcfxq,0
64.186.234.81,25218,true,,,SJC,北美洲 · 美国圣何塞,GTT Communications Inc.,`AS3257`,2026-09-10 00:34:58,@otcfxq,1
69.63.202.156,13377,true,,,LAX,北美洲 · 美国洛杉矶,DMIT Cloud Services,`AS906`,2026-09-09 20:36:56,@otcfxq,1
69.63.202.130,24685,true,,,SJC,北美洲 · 美国圣何塞,DMIT Cloud Services,`AS906`,2026-09-09 20:07:18,@otcfxq,1
69.63.202.75,17640,true,,,LAX,北美洲 · 美国洛杉矶,DMIT Cloud Services,`AS906`,2026-09-09 19:04:23,@otcfxq,1
69.63.221.116,25517,true,,,LAX,北美洲 · 美国洛杉矶,DMIT Cloud Services,`AS906`,2026-09-09 16:08:23,@otcfxq,1
179.253.240.117,15496,true,,,SJC,北美洲 · 美国圣何塞,V tal,`AS8167`,2026-09-09 11:01:53,@otcfxq,1
96.9.212.206,60093,true,359,,SIN,亚洲 · 新加坡新加坡,xTom Pty Ltd,`AS8888`,2026-09-09 10:59:23,@otcfxq,0
179.255.148.94,44046,true,,,SJC,北美洲 · 美国圣何塞,V tal,`AS8167`,2026-09-08 17:01:21,@otcfxq,1
154.12.191.11,8443,true,,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-08 16:52:53,@otcfxq,1
103.135.249.108,8443,true,,,HKG,亚洲 · 中国香港,DMIT Cloud Services,`AS906`,2026-09-08 16:46:35,@otcfxq,1
154.31.115.104,8443,true,264,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-08 16:40:04,@otcfxq,0
154.31.114.162,8443,true,280,,NRT,亚洲 · 日本东京,DMIT Cloud Services,`AS906`,2026-09-08 16:34:36,@otcfxq,0
